race_name,pcs_slug
TDF Stage 1,race/tour-de-france/2025/stage-1
TDF Stage 2,race/tour-de-france/2025/stage-2
Giro Stage 1,race/giro-d-italia/2025/stage-1
Paris-Roubaix,race/paris-roubaix/2025/result
